date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2015-02-23,0.1176595305626956,23.19,0.24,22.32,30.65
2015-02-28,0.13060484599142833,19.19,38.11,16.67,65.27
2015-03-05,0.14210982684630136,22.76,0.15000000000000002,22.84,48.33
2015-03-10,0.1521744731273137,23.88,8.36,16.73,48.86
2015-03-15,0.1607987848344673,22.75,6.73,23.91,55.01
2015-03-20,0.16941032902466305,26.37,0,25.86,37.97
2015-03-25,0.17547892588634875,28.33,4.33,23.51,30.99
2015-03-30,0.17826572504869204,26.52,0,23.27,44.56
2015-04-04,0.17747768044888182,28.75,8.27,22.26,38.98
2015-04-09,0.17363754757316563,23.47,13.68,18.29,62.44
2015-04-14,0.1684503650915531,29.55,0.05,25.01,43.25
2015-04-19,0.16360020052927082,32.18,1.5099999999999998,23.36,24.04
2015-04-24,0.15991005910411613,32.25,3.44,25.23,27.91
2015-04-29,0.1576702903616531,32.7,1.05,24.62,22.11
2015-05-04,0.15676986146537344,33.21,0,24.62,18.88
2015-05-09,0.156822280431005,33.77,3.62,20.56,33.93
2015-05-14,0.15735746146503768,33.9,2.16,26.87,29.66
2015-05-19,0.1580672062854019,36.3,0.21000000000000002,27.03,20.17
2015-05-24,0.15908345749570454,36.61,0.42000000000000004,26.22,17.16
2015-05-29,0.16042818203779816,37.39,0.01,24.91,19.78
2015-06-03,0.16177113283631434,34.07,2.4899999999999998,22.45,34.99
2015-06-08,0.16383855034314637,34.8,5.38,22.05,36.25
2015-06-13,0.16802357866525322,29.44,29.200000000000003,16.39,62.56
2015-06-18,0.17587296963130108,29.57,32.32,17.52,65.92
2015-06-23,0.1886500017753485,26.33,74.15,14.36,83.08
2015-06-28,0.20697361423756688,26.89,14.959999999999999,17.46,74.45
2015-07-03,0.23053375558201164,26.36,42.69,19.52,79.53
2015-07-08,0.25788294753141744,25.8,108.27,10.61,85.13
2015-07-13,0.2867237182128473,26.29,49.99,18.5,84.39
2015-07-18,0.31502885265925934,25.37,31.7,13.08,88.41
2015-07-23,0.34092922766510825,25.62,59.06,12.88,89.54
2015-07-28,0.3633248573830828,24.72,0.88,17.91,84.85
2015-08-02,0.3817986175576206,24.65,114.31,8.48,87.67
2015-08-07,0.3964715373089462,25.74,12.16,16.47,85.61
2015-08-12,0.4077996584676235,26.03,50.81,14.74,87.5
2015-08-17,0.4164111819492524,25.09,65.78999999999999,14.28,90.29
2015-08-22,0.4227518392109,24.54,11.72,18.26,86.77
2015-08-27,0.4257833834311585,24.77,50.39,14.76,92.33
2015-09-01,0.42412594256463215,24.65,31.73,20.52,86.49
2015-09-06,0.41757813796052046,25.05,4.66,22.31,80.99
2015-09-11,0.4063679560521563,25.4,17.17,19.07,81.92
2015-09-16,0.3910522987135225,25.07,94.24,16.41,90.61
2015-09-21,0.3729070561757435,23.9,27.43,20.32,87.26
2015-09-26,0.35294601952890586,24.03,0,20.69,77.39
2015-10-01,0.3316615316247686,25.32,0,19.33,79.21
2015-10-06,0.3090254234584462,23.57,0,22.1,66.24
2015-10-11,0.28657384838933503,24.38,3.1700000000000004,20.19,64.84
2015-10-16,0.2671850906309446,24.36,0,19.28,64.8
2015-10-21,0.2527928267660408,24.16,1.2,16.3,62.93
2015-10-26,0.24324297374463105,23.08,24.48,13.87,76.01
2015-10-31,0.23731522046954032,20.82,0,16.57,80.73
2015-11-05,0.2324844935784276,22.75,0.53,14.77,67.71
2015-11-10,0.22629821773127384,22.01,0,16.31,58.4
2015-11-15,0.21745084696317923,20.87,0,16.45,57.59
2015-11-20,0.20667458645026457,20.35,0,15.34,61.02
2015-11-25,0.1956388790081575,22.43,0,14.73,60
2015-11-30,0.1851791451603528,21.36,0,15.14,58.53
2015-12-05,0.17487207758361062,19.13,0,16.59,35.94
2015-12-10,0.16447619256929324,19.91,0.02,11.46,44.19
2015-12-15,0.15472756880644448,18.48,0.02,12.93,32.47
2015-12-20,0.14701703604310434,18.4,0.25,10.36,50.93
2015-12-25,0.14219619245617954,19.63,0,16.21,25.79
2015-12-30,0.13990209871230694,20.93,0,16.63,31.39
2016-01-04,0.13898098278257218,20.04,0,15.58,31.53
2016-01-09,0.1378927062819977,19.69,0,15.1,25.23
2016-01-14,0.1357973693764391,17.58,14.01,9.14,67.75
2016-01-19,0.13260629655468006,13.88,0,19.06,32.31
2016-01-24,0.12928187070767433,18.97,0,18.29,32.25
2016-01-29,0.12691774935768957,21.92,0,19.55,33.37
2016-02-03,0.12571303756343738,20.31,0,19.1,34.58
2016-02-08,0.12491619101126578,21.3,0.02,18.93,29.21
2016-02-13,0.12394516625466642,23.14,0.61,16.13,32.37
2016-02-18,0.12285077927548456,26.48,0.29000000000000004,16.74,32.46
2016-02-23,0.12230452741674348,25.71,0.03,18.47,22.87
2016-02-28,0.12287240714239248,24.83,4.4,14.865,36.364999999999995
2016-03-04,0.12494292368560315,26.42,14.2,19.15,46.79
2016-03-09,0.12847625069595334,26.22,9.92,18.29,51.3
2016-03-14,0.1328023415475769,27.12,0.08,23.46,37.49
2016-03-19,0.1370509527846098,27.66,0,25.57,13.59
2016-03-24,0.140626761506312,29.02,8.61,22.58,29.78
2016-03-29,0.1431895441112666,29.19,0,25.09,20.16
2016-04-03,0.14462162093791955,32.54,0.04,25.07,19.25
2016-04-08,0.14495931470859477,32.47,1.03,23.26,25.76
2016-04-13,0.1443662251680395,32.02,0.07,27.68,17.03
2016-04-18,0.143073633635597,34.1,0,26.21,17.92
2016-04-23,0.14128489130513092,32.79,0.09,28.06,16.64
2016-04-28,0.1391417844480729,33.77,0.77,24.4,18.35
2016-05-03,0.13683461113134698,33.06,4.9399999999999995,25.23,27.52
2016-05-08,0.1346325602027041,31.01,13,24.01,42.81
2016-05-13,0.1329816445850378,34.49,1.75,25.58,24.21
2016-05-18,0.1315751312067159,34.48,9.08,25.48,38.78
2016-05-23,0.1304130200677385,35.21,6.2,25.13,29.2
