date,ndvi_sg_scaled,T2M,PPT,RAD,RH
2016-04-12,0.10099815736079028,34.58,0.05,27.43,15.67
2016-04-17,0.1032319824835438,35.99,0,26.12,17.89
2016-04-22,0.10565081094577204,34.96,0.06,27.85,13.98
2016-04-27,0.10790177177260084,35.65,2.5500000000000003,24.12,19.77
2016-05-02,0.10991535427215156,34.05,5.17,25.93,29.5
2016-05-07,0.11159012887755304,33.42,7.67,22.95,34.33
2016-05-12,0.11273919014712692,35.74,3.6,24.15,26.82
2016-05-17,0.11356487926281202,34.37,18.44,24.55,43.57
2016-05-22,0.11457685585433992,36.16,8.73,23.19,33.58
2016-05-27,0.11626259960765982,34.5,20.240000000000002,23.87,43.25
2016-06-01,0.11911664604233804,35.71,3.96,21.83,33.38
2016-06-06,0.12273393046161138,34.56,4.5600000000000005,22.96,42.66
2016-06-11,0.12711445286547818,34.65,17.57,23.37,40.14
2016-06-16,0.13225821325394013,30.41,30.78,17.06,63.83
